,EcNumber,Enzyme_Synonyms
22,1.1.1.119,"['1.1.1.119', 'beta-D-glucose: NAD(P) 1-oxidoreductase', 'D-glucose:NADP+ 1-oxidoreductase', 'dehydrogenase, glucose (nicotinamide adenine dinucleotide phosphate)', 'GDH', 'GlcDH', 'GlcDH 2', 'glucose 1-dehydrogenase (NADP+)', 'glucose dehydrogenase', 'glucose-1-dehydrogenase', 'halophilic glucose dehydrogenase', 'Hm GDH', 'NAD(P)+ glucose dehydrogenase', 'NAD(P)-dependent GDH', 'NADP-dependent glucose dehydrogenase', 'NADP-linked aldohexose dehydrogenase', 'nicotinamide adenine dinucleotide (phosphate)-dependent glucose-1-dehydrogenase', 'nicotinamide adenine dinucleotide phosphate-linked aldohexose dehydrogenase', 'STK_17040']"
23,1.1.1.12,"['1.1.1.12', 'dehydrogenase, L-arabinitol', 'HjLAD', 'L-arabinitol 4-dehydrogenase', 'L-arabinitol dehydrogenase', 'L-arabinitol:NAD+ 4-oxidoreductase (L-xylulose-forming)', 'L-arabitol dehydrogenase', 'LAD', 'Lad1', 'LADA', 'pentitol-DPN dehydrogenase', 'XYL2']"
24,1.1.1.120,"['1.1.1.120', 'abequosedehydrogenase', 'AraDH', 'D-galactose dehydrogenase (NADP+)', 'D-galactose:NADP+ 1-oxidoreductase', 'galactose 1-dehydrogenase (NADP+)', 'L-arabinose/D-galactose 1-dehydrogenase']"
25,1.1.1.121,"['1.1.1.121', 'aldohexose dehydrogenase', 'aldose 1-dehydrogenase (NAD+)', 'aldose dehydrogenase', 'aldose-1-dehydrogenase', 'AldT', 'D-aldohexose dehydrogenase', 'D-aldose:NAD+ 1-oxidoreductase', 'dehydrogenase, D-aldohexose', 'More', 'Ta0754', 'TAD', 'TTHA0369']"
26,1.1.1.122,"['(2S,3R)-aldose dehydrogenase', '1.1.1.122', 'D-threo-aldose 1-dehydrogenase', 'D-threo-aldose:NAD+ 1-oxidoreductase', 'FDH', 'L-fucose (D-arabinose) dehydrogenase', 'L-fucose dehydrogenase', 'Sso1300']"
27,1.1.1.123,"['1.1.1.123', '5-keto-D-fructose reductase', '5-ketofructose reductase', 'L-sorbose:NADP+ 5-oxidoreductase', 'reduced nicotinamide adenine dinucleotide phosphate-linked reductase', 'sorbose (nicotinamide adenine dinucleotide phosphate) dehydrogenase', 'sorbose 5-dehydrogenase (NADP+)']"
28,1.1.1.124,"['1.1.1.124', '5-keto-D-fructose reductase (NADP+)', '5-ketofructose reductase (NADP)', '5-ketofructose reductase [NADP+]', 'D-(-)fructose:(NADP+) 5-oxidoreductase', 'D-fructose:NADP+ 5-oxidoreductase', 'fructose 5-dehydrogenase (NADP+)', 'fructose-5-(nicotinamide adenine dinucleotide phosphate) dehydrogenase']"
29,1.1.1.125,"['1.1.1.125', '2-deoxy-D-gluconate 3-dehydrogenase', '2-deoxy-D-gluconate:NAD+ 3-oxidoreductase', '2-deoxygluconate dehydrogenase', '2-deoxygluconic acid dehydrogenase', 'KduD']"
30,1.1.1.126,"['1.1.1.126', '2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase', '2-dehydro-3-deoxy-D-gluconate:NADP+ 6-oxidoreductase', '2-keto-3-deoxy-D-gluconate dehydrogenase', '2-keto-3-deoxygluconate dehydrogenase', 'DDGDH', 'ketodeoxygluconate dehydrogenase', 'NAD-dependent 3-dehydro-2-deoxy-D-gluconate dehydrogenase']"
31,1.1.1.127,"['1.1.1.127', '2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase', '2-dehydro-3-deoxy-D-gluconate:NAD+ 5-oxidoreductase', '2-keto-3-deoxy-D-gluconate (3-deoxy-D-glycero-2,5-hexodiulosonic acid) dehydrogenase', '2-keto-3-deoxy-D-gluconate dehydrogenase', '2-keto-3-deoxygluconate (nicotinamide adenine dinucleotide (phosphate)) dehydrogenase', '2-keto-3-deoxygluconate 5-dehydrogenase', 'KduD']"
32,1.1.1.128,"['1.1.1.128', 'L-idonate 2-dehydrogenase']"
33,1.1.1.129,"['1.1.1.129', 'L-threonate 3-dehydrogenase', 'L-threonate:NAD+ 3-oxidoreductase', 'L-threonic acid dehydrogenase', 'S-adenosyl-L-methionine:myo-inositol 4-O-methyltransferase', 'threonate dehydrogenase']"
34,1.1.1.13,"['1.1.1.13', 'L-arabinitol (ribulose-forming) dehydrogenase', 'L-arabinitol 2-dehydrogenase', 'L-arabinitol dehydrogenase (ribulose-forming)', 'L-arabinitol:NAD+ 2-oxidoreductase (L-ribulose-forming)']"
35,1.1.1.130,"['1.1.1.130', '3-dehydro-L-gulonate 2-dehydrogenase', '3-dehydro-L-gulonate:NAD(P)+ 2-oxidoreductase', '3-keto-L-gulonate dehydrogenase', '3-ketogulonate dehydrogenase']"
36,1.1.1.131,"['1.1.1.131', 'D-mannonate:NAD(P)+ 6-oxidoreductase', 'D-mannonate:nicontinamide adenine dinucleotide (phosphate oxidoreductase (D-mannuronate-forming))', 'mannonate (nicotinamide adenine dinucleotide (phosphate))dehydrogenase', 'mannonate dehydrogenase', 'mannonate dehydrogenase (NAD(P)+)', 'mannuronate reductase']"
37,1.1.1.132,"['1.1.1.132', 'algD', 'GDP mannose dehydrogenase', 'GDP-D-mannose:NAD+ 6-oxidoreductase', 'GDP-mannose 6-dehydrogenase', 'GDP-mannose dehydrogenase', 'GMD', 'GMD1', 'GMD2', 'guanosine diphospho-D-mannose dehydrogenase', 'guanosine diphosphomannose dehydrogenase']"
38,1.1.1.133,"['1.1.1.133', '4-ketoreductase', 'Agl14', 'bifunctional UDP-4-keto-6-deoxy-D-glucose epimerase/reductase', 'dTDP-4-dehydrorhamnose reductase', 'dTDP-4-keto-L-rhamnose reductase', 'dTDP-4-keto-rhamnose reductase', 'dTDP-4-ketorhamnose reductase', 'dTDP-6-deoxy-beta-L-mannose:NADP+ 4-oxidoreductase', 'dTDP-6-deoxy-L-lyxo-4-hexulose reductase', 'dTDP-6-deoxy-L-mannose dehydrogenase', 'dTDP-L-rhamnose synthetase', 'gacA', 'RmlD', 'TDP-4-keto-rhamnose reductase', 'TDP-4-ketorhamnose reductase', 'thymidine diphosphate-4-dehydrorhamnose reductase', 'thymidine diphosphate-6-deoxy-L-talose', 'thymidine diphospho-4-ketorhamnose reductase', 'UGER']"
39,1.1.1.134,"['1.1.1.134', 'dehydrogenase, thymidine diphospho-6-deoxy-L-talose', 'dTDP-6-deoxy-beta-L-talose:NADP+ 4-oxidoreductase', 'dTDP-6-deoxy-L-talose 4-dehydrogenase (NADP+)', 'dTDP-6-deoxy-L-talose dehydrogenase (4-reductase)', 'TDP-6-deoxy-L-talose dehydrogenase', 'thymidine diphospho-6-deoxy-L-talose dehydrogenase']"
40,1.1.1.135,"['1.1.1.135', 'GDP-4-keto-rhamnose reductase', 'GDP-6-deoxy-alpha-D-talose:NAD(P)+ 4-oxidoreductase', 'GDP-6-deoxy-D-talose 4-dehydrogenase', 'GDP-6-deoxy-D-talose dehydrogenase', 'guanosine diphospho-6-deoxy-D-talose dehydrogenase', 'HADH2']"
41,1.1.1.136,"['1.1.1.136', 'dehydrogenase, uridine diphosphoacetylglucosamine', 'gnaA', 'O180 O antigen', 'TviB', 'UDP-2-acetamido-2-deoxy-D-glucose:NAD oxidoreductase', 'UDP-GlcNAc 6-dehydrogenase', 'UDP-GlcNAc dehydrogenase', 'UDP-N-acetyl-alpha-D-glucosamine:NAD+ 6-oxidoreductase', 'UDP-N-acetylglucosamine 6-dehydrogenase', 'UDP-N-acetylglucosamine C-6 dehydrogenase', 'UDPacetylglucosamine dehydrogenase', 'UGlcNAcDH', ""uridine 5'-diphosphate-N-acetyl-D-glucosamine oxidoreductase"", 'uridine diphosphoacetylglucosamine dehydrogenase', 'WbpA']"
42,1.1.1.137,"['1.1.1.137', 'D-ribitol-5-phosphate:NAD(P)+ 2-oxidoreductase', 'D-Rtl-5-P DH', 'dehydrogenase, ribitol 5-phosphate', 'ribitol 5-phosphate dehydrogenase', 'ribitol-5-P 2-dehydrogenase', 'ribitol-5-phosphate 2-dehydrogenase', 'ribitol-5-phosphate dehydrogenase', 'rtpD']"
43,1.1.1.138,"['1.1.1.138', 'Cla h 8', 'Cla h 8 allergen', 'D-mannitol 2-dehydrogenase', 'D-mannitol dehydrogenase', 'D-mannitol dehydrogenase, NADP-dependent', 'D-mannitol:NADP+ 2-oxidoreductase', 'Gox1432', 'LRMDH', 'LXR1', 'MAD1p', 'mannitol 2-dehydrogenase (NADP+)', 'Mannitol 2-dehydrogenase [NADP+]', 'mannitol dehydrogenase', 'mannitol dehydrogenase (NADP+)', 'mannitol dehydrogenase (nicotinamide dinucleotide phosphate)', 'mannitol dehydrogenase 1', 'MDH', 'More', 'MtDH', 'NADP+-dependent mannitol dehydrogenase', 'NADP-dependent mannitol dehydrogenase', 'NADP-dependent MtDH', 'NADP-mannitol dehydrogenase', 'PIG8p', 'PSLDR', 'TbMDH']"
44,1.1.1.139,"['1.1.1.139', 'polyol dehydrogenase (NADP+)']"
45,1.1.1.14,"['1.1.1.14', 'ADH', 'D-sorbitol dehydrogenase', 'dehydrogenase, L-iditol', 'Dgeo_2865', 'glucitol dehydrogenase', 'L-iditol 2-dehydrogenase', 'L-iditol dehydrogenase (sorbitol)', 'L-iditol:NAD oxidoreductase', 'L-iditol:NAD+ 2-oxidoreductase', 'L-iditol:NAD+ 5-oxidoreductase', 'LeSDH', 'MdSDH5', 'More', 'NAD+-dependent sorbitol dehydrogenase', 'NAD-dependent polyol dehydrogenase', 'NAD-dependent sorbitol dehydrogenase', 'NAD-SDH', 'NAD-sorbitol dehydrogenase', 'PDH-11300', 'polyol dehydrogenase', 'Protein tms1', 'SDH', 'SldA', 'SLDH', 'SOR', 'Sor1', 'Sor2', 'sorbitol dehydrogenase', 'sorbitol dehydrogenase 1', 'sorbitol dehydrogenase 2', 'SORD']"
46,1.1.1.140,"['1.1.1.140', 'D-glucitol-6-phosphate dehydrogenase', 'D-sorbitol-6-phosphate 2-dehydrogenase', 'D-sorbitol-6-phosphate dehydrogenase', 'D-sorbitol-6-phosphate:NAD+ 2-oxidoreductase', 'dehydrogenase, D-sorbitol 6-phosphate', 'Glucitol-6-phosphate dehydrogenase', 'GutF', 'GutM', 'GutR', 'ketosephosphate reductase', 'MdS6PDH', 'More', 'operon gutFRMCBA', 'S6PDH', 'sorbitol-6-P-dehydrogenase', 'sorbitol-6-phosphate 2-dehydrogenase', 'sorbitol-6-phosphate dehydrogenase', 'Stl6PDH']"
47,1.1.1.141,"['(5Z,13E,15S)-11alpha,15-dihydroxy-9-oxoprost-5,13-dienoate:NAD+ 15-oxidoreductase', '1.1.1.141', '11alpha,15-dihydroxy-9-oxoprost-13-enoate:NAD+ 15-oxidoreductase', '15-hydroxy prostaglandin dehydrogenase', '15-hydroxy-prostaglandin-dehydrogenase', '15-hydroxyprostaglandin dehydrogenase', '15-hydroxyprostaglandin dehydrogenase (NAD+)', '15-hydroxyprostaglandin-dehydrogenase', '15-hydroxyprostanoic dehydrogenase', '15-OH-PGDH', '15-PGDH', '15-prostaglandin dehydrogenase', 'dehydrogenase, 15-hydroxyprostaglandin', 'HPGD', 'NAD+ dependent 15-hydroxyprostaglandin dehydrogenase', 'NAD+ dependent PGDH', 'NAD+-15-hydroxy prostanoate oxidoreductase', 'NAD+-dependent 15-hydroxyprostaglandin dehydrogenase', 'NAD+-dependent 15-hydroxyprostaglandin dehydrogenase (type I)', 'NAD+-dependent 15-PGDH', 'NAD+-linked 15-hydroxyprostaglandin dehydrogenase', 'NAD-dependent 15-hydroxyprostaglandin dehydrogenase', 'NAD-specific 15-hydroxyprostaglandin dehydrogenase', 'nicotinamide adenine dinucleotide-dependent 15-hydroxyprostaglandin dehydrogenase', 'PGDH', 'prostaglandin dehydrogenase']"
48,1.1.1.142,"['1.1.1.142', '1D-3-O-methyl-chiro-inositol:NADP+ oxidoreductase', 'D-pinitol dehydrogenase']"
49,1.1.1.143,"['1.1.1.143', '5-O-methyl-myo-inositol:NAD+ oxidoreductase', 'D-pinitol dehydrogenase', 'sequoyitol dehydrogenase', 'sequoylitol dehydrogenase']"
50,1.1.1.144,"['1.1.1.144', 'ADH', 'dehydrogenase, perillyl alcohol', 'perillyl alcohol dehydrogenase', 'perillyl-alcohol dehydrogenase', 'perillyl-alcohol:NAD+ oxidoreductase']"
51,1.1.1.145,"['1.1.1.145', '3-beta-hydroxy-5-ene steroid dehydrogenase', '3-beta-hydroxy-delta(5)-steroid dehydrogenase', '3-beta-hydroxysteroid dehydrogenase', '3-beta-hydroxysteroid dehydrogenase type-2', '3beta hydroxysteroid dehydrogenase', '3beta-HSD', '3beta-HSD type II', '3beta-HSD1', '3beta-HSD2', '3beta-HSD22', '3beta-HSDH', '3beta-HSD_1', '3beta-hydroxy steroid dehydrogenase/5-ene-4-ene isomerase', '3beta-hydroxy steroid dehydrogenase/isomerase', '3beta-hydroxy-5-ene steroid dehydrogenase', '3beta-hydroxy-5-ene-steroid dehydrogenase', '3beta-hydroxy-5-ene-steroid oxidoreductase', '3beta-hydroxy-DELTA5-C27-steroid dehydrogenase/isomerase', '3beta-hydroxy-DELTA5-C27-steroid oxidoreductase', '3beta-hydroxy-DELTA5-steroid dehydrogenase', '3beta-hydroxy-DELTA5-steroid:NAD+ 3-oxidoreductase', '3beta-hydroxysteroid dehydrogenase', '3beta-hydroxysteroid dehydrogenase 1', '3beta-hydroxysteroid dehydrogenase 2', '3beta-hydroxysteroid dehydrogenase type 1', '3beta-hydroxysteroid dehydrogenase type 2', '3beta-hydroxysteroid dehydrogenase type 2 and', '3beta-hydroxysteroid dehydrogenase type II', '3beta-hydroxysteroid dehydrogenase type1', '3beta-hydroxysteroid dehydrogenase/DELTA5-DELAT4 isomerase type 2', '3beta-hydroxysteroid dehydrogenase/DELTA5-DELTA4 isomerase', '3beta-hydroxysteroid dehydrogenase/DELTA5-DELTA4-isomerase', '3beta-hydroxysteroid dehydrogenase/DELTA5-DELTA4-isomerase type II', '3beta-hydroxysteroid dehydrogenase/isomerase', '3beta-hydroxysteroid dehydrogenase/isomerase type 1', '3betaHSD', '3betaHSD1', '3betaHSD2', '5-ene-3-beta-hydroxysteroid dehydrogenase', '5alpha-dihydrotestosterone 3beta-hydroxysteroid dehydrogenase', 'dehydrogenase, 3beta-hydroxy-DELTA5-steroid', 'DELTA5-3beta-hydroxysteroid dehydrogenase', 'DHRS4', 'HSD2', 'HSD3B', 'HSD3B1', 'HSD3B2', 'Hsd3b6', 'HSDB1', 'HSDH', 'More', 'progesterone reductase', 'steroid-DELTA5-3beta-ol dehydrogenase', 'type 1 3beta-hydroxysteroid dehydrogenase', 'type 1 3beta-hydroxysteroid dehydrogenase/isomerase', 'type 2 3beta-hydroxysteroid dehydrogenase', 'type 2 3beta-hydroxysteroid dehydrogenase/isomerase']"
